epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,784.997,0.0185,0.97143,1,0.06394,0.000176786,0.000176786,0.000176786
78,796.692,0.02306,0.97143,1,0.04034,0.000169718,0.000169718,0.000169718
79,806.893,0.01711,0.97143,1,0.08876,0.000162649,0.000162649,0.000162649
80,818.248,0.02949,0.97143,1,0.15746,0.000155581,0.000155581,0.000155581
81,829.132,0.04763,0.97143,1,0.10405,0.000148512,0.000148512,0.000148512
82,840.077,0.044,0.97143,1,0.08247,0.000141443,0.000141443,0.000141443
83,851.047,0.06351,0.97143,1,0.09089,0.000134375,0.000134375,0.000134375
84,861.687,0.04317,0.97143,1,0.07868,0.000127306,0.000127306,0.000127306
85,872.337,0.05076,0.97143,1,0.07732,0.000120238,0.000120238,0.000120238
86,883.437,0.04357,0.97143,1,0.10955,0.000113169,0.000113169,0.000113169
87,895.126,0.03988,0.97143,1,0.08005,0.0001061,0.0001061,0.0001061
88,906.905,0.02418,0.97143,1,0.12454,9.90318e-05,9.90318e-05,9.90318e-05
89,917.117,0.04135,0.97143,1,0.09895,9.19632e-05,9.19632e-05,9.19632e-05
90,926.96,0.04145,0.97143,1,0.09638,8.48946e-05,8.48946e-05,8.48946e-05
91,1049.07,0.0224,0.97143,1,0.07884,7.7826e-05,7.7826e-05,7.7826e-05
92,1060.89,0.06684,0.97143,1,0.07419,7.07574e-05,7.07574e-05,7.07574e-05
93,1071.23,0.02274,0.97143,1,0.09939,6.36888e-05,6.36888e-05,6.36888e-05
94,1080.98,0.04813,0.97143,1,0.10584,5.66202e-05,5.66202e-05,5.66202e-05
95,1090.44,0.06011,0.97143,1,0.07226,4.95516e-05,4.95516e-05,4.95516e-05
96,1101.34,0.01607,0.97143,1,0.1412,4.2483e-05,4.2483e-05,4.2483e-05
97,1111.29,0.01291,0.97143,1,0.13707,3.54144e-05,3.54144e-05,3.54144e-05
98,1121.86,0.02982,0.97143,1,0.12879,2.83458e-05,2.83458e-05,2.83458e-05
99,1130.84,0.02385,0.97143,1,0.10219,2.12772e-05,2.12772e-05,2.12772e-05
100,1141.33,0.03382,0.97143,1,0.07869,1.42086e-05,1.42086e-05,1.42086e-05
